date,pincode,state,total_activity,anomaly_score
2025-03-02,793121,Meghalaya,109,-1
2025-03-09,110059,Delhi,177,-1
2025-03-09,121004,Haryana,300,-1
2025-03-09,122001,Haryana,100,-1
2025-03-09,201102,Uttar Pradesh,174,-1
2025-03-09,201301,Uttar Pradesh,290,-1
2025-03-09,202133,Uttar Pradesh,106,-1
2025-03-09,208001,Uttar Pradesh,123,-1
2025-03-09,226003,Uttar Pradesh,142,-1
2025-03-09,271865,Uttar Pradesh,100,-1
2025-03-09,273164,Uttar Pradesh,114,-1
2025-03-09,332001,Rajasthan,188,-1
2025-03-09,431001,Maharashtra,100,-1
2025-03-09,475110,Madhya Pradesh,70,-1
2025-03-09,477116,Madhya Pradesh,66,-1
2025-03-09,483501,Madhya Pradesh,106,-1
2025-03-09,560043,Karnataka,86,-1
2025-03-09,560068,Karnataka,66,-1
2025-03-09,733129,West Bengal,71,-1
2025-03-09,812005,Bihar,71,-1
2025-03-09,843317,Bihar,145,-1
2025-03-09,843324,Bihar,269,-1
2025-03-09,843330,Bihar,89,-1
2025-03-09,843331,Bihar,81,-1
2025-03-09,845304,Bihar,102,-1
2025-03-09,845418,Bihar,88,-1
2025-03-09,847108,Bihar,160,-1
2025-03-15,110059,Delhi,76,-1
2025-03-15,201001,Uttar Pradesh,174,-1
2025-03-15,201002,Uttar Pradesh,89,-1
2025-03-15,201009,Uttar Pradesh,75,-1
2025-03-15,201102,Uttar Pradesh,195,-1
2025-03-15,201301,Uttar Pradesh,199,-1
2025-03-15,209801,Uttar Pradesh,130,-1
2025-03-15,247001,Uttar Pradesh,253,-1
2025-03-15,273164,Uttar Pradesh,79,-1
2025-03-15,282001,Uttar Pradesh,182,-1
2025-03-15,282005,Uttar Pradesh,93,-1
2025-03-15,282010,Uttar Pradesh,78,-1
2025-03-15,431401,Maharashtra,68,-1
2025-03-15,782104,Assam,67,-1
2025-03-15,782105,Assam,182,-1
2025-03-15,793119,Meghalaya,192,-1
2025-03-15,793150,Meghalaya,139,-1
2025-03-15,843324,Bihar,155,-1
2025-03-15,845303,Bihar,146,-1
2025-03-15,847421,Bihar,84,-1
2025-03-20,141007,Punjab,131,-1
2025-03-20,201301,Uttar Pradesh,319,-1
2025-03-20,202001,Uttar Pradesh,361,-1
2025-03-20,209821,Uttar Pradesh,73,-1
2025-03-20,222001,Uttar Pradesh,151,-1
2025-03-20,248001,Uttarakhand,176,-1
2025-03-20,263139,Uttarakhand,75,-1
2025-03-20,271855,Uttar Pradesh,95,-1
2025-03-20,271865,Uttar Pradesh,80,-1
2025-03-20,282001,Uttar Pradesh,232,-1
2025-03-20,283125,Uttar Pradesh,66,-1
2025-03-20,283203,Uttar Pradesh,127,-1
2025-03-20,384265,Gujarat,143,-1
2025-03-20,385001,Gujarat,111,-1
2025-03-20,385310,Gujarat,123,-1
2025-03-20,385330,Gujarat,83,-1
2025-03-20,390019,Gujarat,89,-1
2025-03-20,431001,Maharashtra,190,-1
2025-03-20,474001,Madhya Pradesh,116,-1
2025-03-20,524002,Andhra Pradesh,65,-1
2025-03-20,560043,Karnataka,93,-1
2025-03-20,560068,Karnataka,92,-1
2025-03-20,782104,Assam,88,-1
2025-03-20,782105,Assam,161,-1
2025-03-20,782446,Assam,89,-1
2025-03-20,783101,Assam,68,-1
2025-03-20,783331,Assam,78,-1
2025-03-20,783334,Assam,93,-1
2025-03-20,783339,Assam,82,-1
2025-03-20,783348,Assam,163,-1
2025-03-20,783350,Assam,102,-1
2025-03-20,783360,Assam,136,-1
2025-03-20,783384,Assam,89,-1
2025-03-20,784110,Assam,81,-1
2025-03-20,784509,Assam,90,-1
2025-03-20,786156,Assam,65,-1
2025-03-20,786171,Assam,79,-1
2025-03-20,786174,Assam,95,-1
2025-03-20,787031,Assam,101,-1
2025-03-20,787057,Assam,85,-1
2025-03-20,793119,Meghalaya,241,-1
2025-03-20,793150,Meghalaya,160,-1
2025-03-20,800001,Bihar,80,-1
2025-03-20,843324,Bihar,126,-1
2025-03-23,222001,Uttar Pradesh,108,-1
2025-03-23,271865,Uttar Pradesh,96,-1
2025-03-23,793015,Meghalaya,137,-1
2025-03-23,793119,Meghalaya,103,-1
2025-03-23,843324,Bihar,85,-1
2025-03-26,793150,Meghalaya,211,-1
2025-03-27,202001,Uttar Pradesh,156,-1
2025-03-27,208001,Uttar Pradesh,85,-1
2025-03-27,210001,Uttar Pradesh,66,-1
2025-03-27,222001,Uttar Pradesh,75,-1
2025-03-27,273164,Uttar Pradesh,89,-1
2025-03-27,281204,Uttar Pradesh,71,-1
2025-03-27,282001,Uttar Pradesh,95,-1
2025-03-27,282006,Uttar Pradesh,66,-1
2025-03-27,363641,Gujarat,71,-1
2025-03-27,385001,Gujarat,68,-1
2025-03-27,385120,Gujarat,69,-1
2025-03-27,385320,Gujarat,85,-1
2025-03-27,385535,Gujarat,142,-1
2025-03-27,475110,Madhya Pradesh,94,-1
2025-03-27,492001,Chhattisgarh,100,-1
2025-03-27,494444,Chhattisgarh,100,-1
2025-03-27,842002,Bihar,74,-1
2025-03-27,843317,Bihar,78,-1
2025-03-27,843324,Bihar,120,-1
2025-03-27,843330,Bihar,83,-1
2025-03-27,845307,Bihar,126,-1
2025-03-27,847108,Bihar,86,-1
2025-03-28,793119,Meghalaya,137,-1
2025-03-29,793105,Meghalaya,67,-1
2025-04-01,110003,Delhi,133,-1
2025-04-01,110017,Delhi,198,-1
2025-04-01,110018,Delhi,403,-1
2025-04-01,110032,Delhi,319,-1
2025-04-01,110034,Delhi,409,-1
2025-04-01,110037,Delhi,202,-1
2025-04-01,110040,Delhi,383,-1
2025-04-01,110045,Delhi,431,-1
2025-04-01,110059,Delhi,1469,-1
2025-04-01,110061,Delhi,81,-1
2025-04-01,110070,Delhi,111,-1
2025-04-01,110074,Delhi,365,-1
2025-04-01,110085,Delhi,514,-1
2025-04-01,110092,Delhi,912,-1
2025-04-01,121002,Haryana,658,-1
2025-04-01,121004,Haryana,2554,-1
2025-04-01,122001,Haryana,1186,-1
2025-04-01,122002,Haryana,258,-1
2025-04-01,140301,Punjab,280,-1
2025-04-01,141001,Punjab,481,-1
2025-04-01,141003,Punjab,348,-1
2025-04-01,141007,Punjab,509,-1
2025-04-01,141008,Punjab,620,-1
2025-04-01,141010,Punjab,244,-1
2025-04-01,141012,Punjab,84,-1
2025-04-01,141013,Punjab,114,-1
2025-04-01,141015,Punjab,228,-1
2025-04-01,142026,Punjab,131,-1
2025-04-01,143001,Punjab,1114,-1
2025-04-01,143110,Punjab,108,-1
2025-04-01,143505,Punjab,318,-1
2025-04-01,144401,Punjab,226,-1
2025-04-01,144601,Punjab,446,-1
2025-04-01,146001,Punjab,336,-1
2025-04-01,148001,Punjab,166,-1
2025-04-01,160036,Chandigarh,117,-1
2025-04-01,201301,Uttar Pradesh,1160,-1
2025-04-01,201306,Uttar Pradesh,460,-1
2025-04-01,201310,Uttar Pradesh,359,-1
2025-04-01,202001,Uttar Pradesh,1767,-1
2025-04-01,203001,Uttar Pradesh,704,-1
2025-04-01,203205,Uttar Pradesh,484,-1
2025-04-01,203207,Uttar Pradesh,512,-1
2025-04-01,205247,Uttar Pradesh,178,-1
2025-04-01,205261,Uttar Pradesh,134,-1
2025-04-01,205262,Uttar Pradesh,241,-1
2025-04-01,205264,Uttar Pradesh,154,-1
2025-04-01,206001,Uttar Pradesh,590,-1
2025-04-01,207001,Uttar Pradesh,1091,-1
2025-04-01,208001,Uttar Pradesh,832,-1
2025-04-01,208002,Uttar Pradesh,148,-1
2025-04-01,208003,Uttar Pradesh,78,-1
2025-04-01,208004,Uttar Pradesh,133,-1
2025-04-01,208007,Uttar Pradesh,191,-1
2025-04-01,208011,Uttar Pradesh,252,-1
2025-04-01,208020,Uttar Pradesh,156,-1
2025-04-01,208021,Uttar Pradesh,354,-1
2025-04-01,208027,Uttar Pradesh,319,-1
2025-04-01,209204,Uttar Pradesh,162,-1
2025-04-01,209214,Uttar Pradesh,241,-1
2025-04-01,209303,Uttar Pradesh,336,-1
2025-04-01,209306,Uttar Pradesh,318,-1
2025-04-01,209307,Uttar Pradesh,92,-1
2025-04-01,209401,Uttar Pradesh,136,-1
2025-04-01,209402,Uttar Pradesh,150,-1
2025-04-01,209801,Uttar Pradesh,1171,-1
2025-04-01,209861,Uttar Pradesh,343,-1
2025-04-01,210001,Uttar Pradesh,457,-1
2025-04-01,210121,Uttar Pradesh,384,-1
2025-04-01,212203,Uttar Pradesh,154,-1
2025-04-01,212213,Uttar Pradesh,113,-1
2025-04-01,212635,Uttar Pradesh,312,-1
2025-04-01,221001,Uttar Pradesh,846,-1
2025-04-01,221002,Uttar Pradesh,332,-1
2025-04-01,221011,Uttar Pradesh,163,-1
2025-04-01,222001,Uttar Pradesh,761,-1
2025-04-01,222132,Uttar Pradesh,123,-1
2025-04-01,222139,Uttar Pradesh,388,-1
2025-04-01,223104,Uttar Pradesh,254,-1
2025-04-01,224122,Uttar Pradesh,312,-1
2025-04-01,225301,Uttar Pradesh,254,-1
2025-04-01,226003,Uttar Pradesh,594,-1
2025-04-01,226005,Uttar Pradesh,198,-1
2025-04-01,226010,Uttar Pradesh,290,-1
2025-04-01,226016,Uttar Pradesh,361,-1
2025-04-01,226017,Uttar Pradesh,389,-1
2025-04-01,226018,Uttar Pradesh,125,-1
2025-04-01,226020,Uttar Pradesh,366,-1
2025-04-01,226021,Uttar Pradesh,290,-1
2025-04-01,228001,Uttar Pradesh,480,-1
2025-04-01,232101,Uttar Pradesh,428,-1
2025-04-01,242001,Uttar Pradesh,1127,-1
2025-04-01,242127,Uttar Pradesh,443,-1
2025-04-01,242221,Uttar Pradesh,747,-1
2025-04-01,243001,Uttar Pradesh,847,-1
2025-04-01,243201,Uttar Pradesh,1563,-1
2025-04-01,243503,Uttar Pradesh,1144,-1
2025-04-01,243505,Uttar Pradesh,710,-1
2025-04-01,243601,Uttar Pradesh,760,-1
2025-04-01,244001,Uttar Pradesh,2044,-1
2025-04-01,244221,Uttar Pradesh,580,-1
2025-04-01,244901,Uttar Pradesh,1246,-1
2025-04-01,247001,Uttar Pradesh,1591,-1
2025-04-01,247341,Uttar Pradesh,470,-1
2025-04-01,247776,Uttar Pradesh,537,-1
2025-04-01,248001,Uttarakhand,674,-1
2025-04-01,250001,Uttar Pradesh,867,-1
2025-04-01,250002,Uttar Pradesh,1186,-1
2025-04-01,250611,Uttar Pradesh,553,-1
2025-04-01,251001,Uttar Pradesh,636,-1
2025-04-01,251002,Uttar Pradesh,379,-1
2025-04-01,261201,Uttar Pradesh,864,-1
2025-04-01,261203,Uttar Pradesh,670,-1
2025-04-01,261204,Uttar Pradesh,496,-1
2025-04-01,261205,Uttar Pradesh,640,-1
2025-04-01,261208,Uttar Pradesh,398,-1
2025-04-01,261505,Uttar Pradesh,794,-1
2025-04-01,262122,Uttar Pradesh,878,-1
2025-04-01,262903,Uttar Pradesh,170,-1
2025-04-01,262907,Uttar Pradesh,138,-1
2025-04-01,263139,Uttarakhand,602,-1
2025-04-01,271205,Uttar Pradesh,275,-1
2025-04-01,271208,Uttar Pradesh,334,-1
2025-04-01,271311,Uttar Pradesh,118,-1
2025-04-01,271503,Uttar Pradesh,366,-1
2025-04-01,271504,Uttar Pradesh,218,-1
2025-04-01,271604,Uttar Pradesh,494,-1
2025-04-01,271801,Uttar Pradesh,374,-1
2025-04-01,271824,Uttar Pradesh,137,-1
2025-04-01,271830,Uttar Pradesh,449,-1
2025-04-01,271831,Uttar Pradesh,525,-1
2025-04-01,271851,Uttar Pradesh,289,-1
2025-04-01,271855,Uttar Pradesh,839,-1
2025-04-01,271865,Uttar Pradesh,670,-1
2025-04-01,271870,Uttar Pradesh,99,-1
2025-04-01,271872,Uttar Pradesh,72,-1
2025-04-01,271881,Uttar Pradesh,331,-1
